index,name,type,height,weight,abilities,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed
1,bulbasaur,grass / poison,0.7,6.9,overgrow,chlorophyll,45,49,49,65,65,45
2,ivysaur,grass / poison,1.0,13.0,overgrow,chlorophyll,60,62,63,80,80,60
3,venusaur,grass / poison,2.0,100.0,overgrow,chlorophyll,80,82,83,100,100,80
3,venusaur-mega,grass / poison,2.4,155.5,thick-fat,,80,100,123,122,120,80
3,venusaur-gmax,grass / poison,24.0,1000.0,overgrow,chlorophyll,80,82,83,100,100,80
4,charmander,fire,0.6,8.5,blaze,solar-power,39,52,43,60,50,65
5,charmeleon,fire,1.1,19.0,blaze,solar-power,58,64,58,80,65,80
6,charizard,fire / flying,1.7,90.5,blaze,solar-power,78,84,78,109,85,100
6,charizard-mega-x,fire / dragon,1.7,110.5,tough-claws,,78,130,111,130,85,100
6,charizard-mega-y,fire / flying,1.7,100.5,drought,,78,104,78,159,115,100
6,charizard-gmax,fire / flying,28.0,1000.0,blaze,solar-power,78,84,78,109,85,100
7,squirtle,water,0.5,9.0,torrent,rain-dish,44,48,65,50,64,43
8,wartortle,water,1.0,22.5,torrent,rain-dish,59,63,80,65,80,58
9,blastoise,water,1.6,85.5,torrent,rain-dish,79,83,100,85,105,78
9,blastoise-mega,water,1.6,101.1,mega-launcher,,79,103,120,135,115,78
9,blastoise-gmax,water,25.0,1000.0,torrent,rain-dish,79,83,100,85,105,78
10,caterpie,bug,0.3,2.9,shield-dust,run-away,45,30,35,20,20,45
11,metapod,bug,0.7,9.9,shed-skin,,50,20,55,25,25,30
12,butterfree,bug / flying,1.1,32.0,compound-eyes,tinted-lens,60,45,50,90,80,70
12,butterfree-gmax,bug / flying,17.0,1000.0,compound-eyes,tinted-lens,60,45,50,90,80,70
13,weedle,bug / poison,0.3,3.2,shield-dust,run-away,40,35,30,20,20,50
14,kakuna,bug / poison,0.6,10.0,shed-skin,,45,25,50,25,25,35
15,beedrill,bug / poison,1.0,29.5,swarm,sniper,65,90,40,45,80,75
15,beedrill-mega,bug / poison,1.4,40.5,adaptability,,65,150,40,15,80,145
16,pidgey,normal / flying,0.3,1.8,keen-eye / tangled-feet,big-pecks,40,45,40,35,35,56
17,pidgeotto,normal / flying,1.1,30.0,keen-eye / tangled-feet,big-pecks,63,60,55,50,50,71
18,pidgeot,normal / flying,1.5,39.5,keen-eye / tangled-feet,big-pecks,83,80,75,70,70,101
18,pidgeot-mega,normal / flying,2.2,50.5,no-guard,,83,80,80,135,80,121
